eval_count,energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17
26,1.7152627079676086,-0.6196526345080435,-0.641816440002035,-0.6545729137382001,-0.6814102240755534,-0.38450561135195016,-0.7045471530125705,-0.6196526345080438,-0.6418164400020354,-0.6545729137382006,-0.6814102240755535,-1.1434371410231625,-0.7045471530125704,-0.6196526345080434,-0.6418164400020353,-0.6545729137382001,-0.6814102240755536,-1.2463341345296621,-0.7045471530125706
27,1.8415702858217644,-0.6533684152932443,-0.6806861060538912,-0.6964089206587813,-0.7294868749316643,0.2590777255557317,-0.7580039754821019,-0.6533684152932445,-0.6806861060538918,-0.6964089206587819,-0.7294868749316646,-1.8893150544480093,-0.7580039754821019,-0.6533684152932443,-0.6806861060538915,-0.6964089206587813,-0.7294868749316648,-1.2186561798086273,-0.758003975482102
28,1.7522667679311144,-0.5861405038469785,-0.6083043093409698,-0.621060783077135,-0.6478980934144882,-0.39038503275314324,-0.6710350223515054,-0.5861405038469787,-0.6083043093409704,-0.6210607830771354,-0.6478980934144885,-1.1405866860748517,-0.6710350223515054,-0.5861405038469782,-0.6083043093409701,-0.6210607830771351,-0.6478980934144885,-1.2478486177561032,-1.1885224964247236
29,5.858132783726162,-0.8183117583796826,-0.8555876809577547,-0.8770419987863156,-0.9221779977739482,-0.7961036819696456,-0.9610905559979601,-0.8183117583796832,-0.8555876809577551,-0.8770419987863162,-0.9221779977739479,-1.277010446466588,-0.9610905559979595,-0.8183117583796823,-0.8555876809577547,-0.8770419987863162,-0.9221779977739473,-1.5007519980893043,-0.9007921503366807
30,1.7152627079676068,-0.6196526345080433,-0.6418164400020347,-0.6545729137381999,-0.6814102240755532,-0.38450561135195027,-0.35099376241929836,-0.6196526345080435,-0.6418164400020352,-0.6545729137382004,-0.6814102240755533,-1.1434371410231625,-1.0581005436058457,-0.6196526345080432,-0.6418164400020351,-0.6545729137381999,-0.6814102240755534,-1.2463341345296621,-0.7045471530125706
31,2.1812315253864423,-0.7329124289634187,-0.7556194609839949,-0.7686885910878153,-0.7961836737955944,-0.3806834540601038,0.2985576633397742,-0.7329124289634189,-0.7556194609839954,-0.7686885910878157,-0.7961836737955945,-1.1572648056617811,-0.4085491178467797,-0.7329124289634186,-0.7556194609839952,-0.7686885910878153,-0.7961836737955946,-1.2506838199315393,-0.7088406391275294
32,1.7496381114789434,-0.5778866547331984,-0.6000504602271899,-0.6128069339633551,-0.6396442443007083,-0.38112815611184236,-0.33146439092390784,-0.5778866547331987,-0.6000504602271903,-0.6128069339633555,-1.1588045880187907,-1.1510502812029224,-1.0816221547070073,-0.5778866547331983,-0.6000504602271902,-0.6128069339633551,-0.6396442443007085,-1.2179854837298543,-0.7376919549260997
33,1.8023248092165256,-0.6598606402855132,-0.6851648394956931,-0.6997287803643704,-0.7303686741870226,-0.29092687131010897,-0.01692057963718052,-0.6598606402855134,-0.6851648394956936,-0.6997287803643709,-0.6094263826549534,-1.3321920594725158,-1.5010849477912807,-0.6598606402855128,-0.6851648394956934,-0.6997287803643705,-0.7303686741870229,-0.7402355825619589,-1.3087481044264886
34,1.7477989546557686,-0.5742077509841917,-0.5963715564781832,-0.6091280302143484,-0.6359653405517016,-0.39213163300746035,-0.35473595546673403,-0.574207750984192,-0.5963715564781836,-0.6091280302143488,-0.6839195008974452,-1.1415667685719078,-1.059711205593612,-0.5742077509841916,-0.5963715564781835,-0.6091280302143484,-1.160204050557459,-1.250720409642479,-0.7051027770551972
35,5.613203584941861,-0.8158113446751176,-0.8527187806373121,-0.8739610144066248,-0.9186508269454488,-0.8067786042517359,-0.6901341252221278,-0.815811344675118,-0.8527187806373135,-0.8739610144066264,-0.8796098682112943,-1.2546303243778574,-1.3064462951669753,-0.815811344675118,-0.8527187806373133,-0.8739610144066265,-0.854449030820434,-1.5595962909564234,-0.8299284149448122
36,1.7079117744271555,-0.6111416260097096,-0.633305431503701,-0.6460619052398662,-0.3706690778152014,-0.38514833703043244,-0.3521467746180228,-0.6111416260097098,-0.6333054315037014,-1.0455320747974897,-0.6825271014619824,-1.145184212523881,-1.0592535558045701,-0.6111416260097094,-0.6333054315037013,-0.6460619052398662,-0.6825271014619825,-1.2475290331192623,-0.7057001652112951
37,1.9078007006267699,-0.7671278318932151,-0.7898652208235493,-0.8029518229775617,0.34446637895825927,-0.3780535389588222,-0.3523342530530519,-0.7671278318932153,-0.7898652208235497,-0.5045078984654203,-0.6809160258881437,-1.1519515907726747,-1.0621697262264436,-0.767127831893215,-0.7898652208235496,-0.8029518229775617,-0.6816920396854123,-1.2447447080166005,-0.7069315122920067
38,1.706958791151374,-0.5443421746410617,-0.5665059801350532,-1.1086064470147885,-0.35012406030530396,-0.3878662051925483,-0.3550970996000706,-0.5443421746410619,-0.5665059801350536,-1.0716271914156899,-0.7187642819530443,-1.1522980675915353,-1.0437597179730036,-0.5443421746410616,-0.5665059801350535,-0.5792624538712183,-0.717429826747824,-1.2320321743790432,-0.7309208672971874
39,2.0300325275094493,-0.5329929586267663,-0.5582785980944593,-0.9514790853719429,-0.038454323021806625,-0.3805564373297475,-0.3844179045923515,-0.5329929586267669,-0.5582785980944598,-1.4356148379005225,-1.2203865110330283,-1.270261305442422,-0.821056729492284,-0.5329929586267665,-0.5582785980944599,-0.5728318568233908,-1.2039669436924054,-0.9777367570358422,-1.088161191346573
